,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,CIDADE,ANO_BO,NUM_BO,DESCR_SOLUCAO,DESCR_PROVIDENCIA,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,NOME_MUNICIPIO_CIRC,DESCR_TIPO_BO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESCRICAO_APRESENTACAO,DATAHORA_REGISTRO_BO,DATA_COMUNICACAO_BO,DATAHORA_IMPRESSAO_BO,DESCR_PERIODO,AUTORIA_BO,FLAG_INTOLERANCIA,TIPO_INTOLERANCIA,FLAG_FLAGRANTE,FLAG_STATUS,RUBRICA,DESCR_CONDUTA,DESDOBRAMENTO,BAIRRO,DESCR_TIPOLOCAL,DESCR_SUBTIPOLOCAL,CEP,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,CONT_OBJETO,DESCR_MODO_OBJETO,DESCR_TIPO_OBJETO,DESCR_SUBTIPO_OBJETO,DESCR_UNIDADE,QUANTIDADE_OBJETO
15944135,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,26784,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,03º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-02-12,,,2006-02-15 15:56:00,2006-02-13,2006-02-15 15:55:45.000000,A NOITE             ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,Jardim Universo,Outros,Outros,,R: Dom Luis de Souza,136,,,1,SUBTRAÍDO                               ,Telecomunicação                         ,Telefone celular                                            ,Unidade   ,
15944339,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,30597,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-02-19,,,2006-02-19 03:17:00,2006-02-19,2006-02-19 03:16:58.000000,DE MADRUGADA        ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,centro,Outros,Outros,,rua Basilio Batalha,149,,,1,SUBTRAÍDO                               ,Telecomunicação                         ,Telefone celular                                            ,Unidade   ,
15945083,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,43521,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-03-09,,,2006-03-11 07:04:00,2006-03-10,2006-03-11 07:04:26.000000,A TARDE             ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,Centro Cívico,Outros,Outros,,Av. Dr.Cândido Xavier de Almeida e Souza,200,,,1,SUBTRAÍDO                               ,Telecomunicação                         ,Telefone celular                                            ,Unidade   ,
15945121,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,44161,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-03-09,,,2006-03-12 00:21:00,2006-03-11,2006-03-12 00:20:38.000000,A NOITE             ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,Jundiapeba,Via pública,Via pública,,Rua Vereador Mito Sona,1738,,,1,SUBTRAÍDO                               ,Peça automotiva/acessório               ,Placa-Peça automotiva/acessório                             ,Unidade   ,1.0
15945189,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,45240,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-03-11,,,2006-03-14 11:31:00,2006-03-13,2006-03-14 11:31:23.000000,DE MADRUGADA        ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,,Outros,Outros,,Rua Barão de Jaceguai,375,,,1,SUBTRAÍDO                               ,Telecomunicação                         ,Telefone celular                                            ,Unidade   ,
15945923,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,59658,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,04º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-03-27,,,2006-04-01 00:56:00,2006-04-01,2006-04-01 00:56:04.000000,A NOITE             ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,Brás Cubas,Outros,Outros,,Av. Anchieta,0,,,1,SUBTRAÍDO                               ,Telecomunicação                         ,Telefone celular                                            ,Unidade   ,
15945945,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,60118,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,03º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-03-31,,,2006-04-01 22:20:00,2006-04-01,2006-04-01 22:20:02.000000,A TARDE             ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,Jundiapeba,Serviços e bens públicos,Outros,,Rua Pedro Paulo dos Santos,0,,,1,SUBTRAÍDO                               ,Peça automotiva/acessório               ,Placa-Peça automotiva/acessório                             ,Unidade   ,1.0
15946124,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,63376,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-04-04,,,2006-04-06 00:35:00,2006-04-05,2006-04-06 00:35:21.000000,A NOITE             ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,Centro,Outros,Outros,,Av. Voluntário Fernando Pinheiro Franco,0,,,1,SUBTRAÍDO                               ,Telecomunicação                         ,Telefone celular                                            ,Unidade   ,
15946499,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,70553,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,02º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-04-15,,,2006-04-15 21:37:00,2006-04-15,2006-04-15 21:36:56.000000,DE MADRUGADA        ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,,Outros,Outros,,Estrada Mogi-Dutra,0,,,1,SUBTRAÍDO                               ,Telecomunicação                         ,Telefone celular                                            ,Unidade   ,
15946500,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,70553,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,02º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-04-15,,,2006-04-15 21:37:00,2006-04-15,2006-04-15 21:36:56.000000,DE MADRUGADA        ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,,Outros,Outros,,Estrada Mogi-Dutra,0,,,2,SUBTRAÍDO                               ,Telecomunicação                         ,Telefone celular                                            ,Unidade   ,
15946973,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2006,82947,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2006-05-02,,,2006-05-04 11:37:00,2006-05-03,2006-05-04 11:36:52.000000,A NOITE             ,DESCONHECIDA,N,,N,CONSUMADO,Furto (art. 155),OUTROS,,Centro,Outros,Outros,,Rua Prof. Flaviano de Mello,0,,,1,SUBTRAÍDO                               ,Telecomunicação                         ,Telefone celular                                            ,Unidade   ,
